"","price","address","squares","type","year","age","bed","bath","tax"
"1","$58,000,000","4743 Belmont Avenue, Vancouver West, BC","21,977 sq.ft.","Residential, House",NA,"20","5","12",NA
"2","$35,880,000","3019 Point Grey Road, Vancouver West, BC","6,857 sq.ft.","Residential, House","1912","107","6","5","$153,252"
"3","$35,800,000","1233 Tecumseh Avenue, Vancouver West, BC","12,413 sq.ft.","Residential, House","2019","1","7","8+2","$46,835"
"4","$32,800,000","2601 277 Thurlow Street, Vancouver West, BC","6,670 sq.ft.","Residential, Condo","2012","8","6","8+2","$56,414"
"5","$30,000,000","2910 Park Lane, West Vancouver, BC","8,338 sq.ft.","Residential, House","2008",NA,"5","5+2",NA
"6","$29,800,000","Ph 02 1011 W Cordova Street, Vancouver West, BC","6,652 sq.ft.","Residential, Condo","2010","10","4","5+1","$152,540"
"7","$29,800,000","1343 Blythe Rd, Mississauga, ON",NA,"Residential, House",NA,"6-15","7+1","8+4","$134,745"
"8","$28,880,000","1438 W 32 Ave, Vancouver West, BC","10,663 sq.ft.","Residential, House","2020",NA,"7","7+2","$43,939"
"9","$26,988,000","3689 Selkirk Street, Vancouver West, BC","16,655 sq.ft.","Residential, House","1915","105","12","8+5","$106,377"
"10","$25,000,000","2929 Mathers Avenue, West Vancouver, BC","16,245 sq.ft.","Residential, House","1993","27","10","12+1","$71,644"
"11","$24,588,000","624 200 Street, Langley, BC","4,776 sq.ft.","Commercial, Equestrian","2011","9",NA,"6+6","$17,364"
"12","$23,985,000","3738 Selkirk Street, Vancouver West, BC","10,223 sq.ft.","Residential, House","2000","20","4","8+2","$113,289"
"13","$23,888,000","3190 Travers Avenue, West Vancouver, BC","8,871 sq.ft.","Residential, House","2004","16","5","6+1","$78,659"
"14","$22,880,000","5340 Seaside Place, West Vancouver, BC","6,412 sq.ft.","Residential, House","2012","8","4","5+1","$29,037"
"15","$21,988,000","5240 Marine Drive, West Vancouver, BC","7,724 sq.ft.","Residential, House","1941","78","5","5+1","$116,923"
"16","$21,980,000","9431 No. 6 Road, Richmond, BC","22,317 sq.ft.","Residential, House","2018","2","9","11+2","$16,034"
